matrixSz,tileSz,NaiveSpeedup,TiledSpeedup
64x64,1,1.000433,0.638534
64x64,2,1.079973,1.805928
64x64,4,0.754812,1.607182
64x64,8,1.134758,1.253182
64x64,16,0.053063,0.516262
64x64,32,1.150844,0.844733
256x256,1,10.595808,2.227438
256x256,2,36.629894,12.216663
256x256,4,42.960506,53.581570
256x256,8,44.578529,44.674053
256x256,16,50.152760,59.447556
256x256,32,38.506447,40.005367
1024x1024,1,19.258265,2.649642
1024x1024,2,49.038563,17.504696
1024x1024,4,219.029480,87.183121
1024x1024,8,251.147552,289.135376
1024x1024,16,271.453247,308.405426
1024x1024,32, 262.413116,295.212006
2048x2048,1,53.034966,6.981768
2048x2048,2,180.295990,52.764347
2048x2048,4,555.436768,377.505676
2048x2048,8,1149.947632,1228.562622
2048x2048,16,1405.791748,1661.550049
2048x2048,32,1376.284058,1525.087402



