Attempt,1st_Speedup,2nd_Speedup,3rd_Speedup,4th_Speedup
N(48),0.9939196,0.998503,1.017424,0.9803106
N(M),0.8860662,3.905318,18.55502,10.96254
N(M/4),3.320116,12.9231,14.06314,18.308
N(M/8),4.1868,12.4432,13.0444,17.4858
S(48),1.76981,6.69153,10.2135,10.6396
S(M),0.868687,3.9359,18.3792,10.0743
S(M/4),3.34315,11.6769,13.48,18.4595
S(M/8),4.9149,10.3134,12.1682,17.2864
D(48),1.81505,7.19099,9.74499,15.9837
D(M),0.941841,3.9987,16.4842,10.5897
D(M/4),2.60477,13.6648,13.7286,17.6682
D(M/8),5.10965,12.3701,13.5782,16.152
G(48),3.52859,7.73936,9.91426,13.3502
G(M),1.10264,4.00283,15.8099,10.6916
G(M/4),3.72379,14.5564,16.9545,19.253
G(M/8),6.91183,17.5328,20.8919,18.4095
