Attempt,1st_Speedup,2nd_Speedup,3rd_Speedup,4th_Speedup
N(48),2.421,7.103,11.771,16.266
N(M),6.478,12.976,27.0064,26.8994
N(M/4),3.837,9.887,18.986,26.161
N(M/8),3.776,9.400,17.5945,21.307
S(48),2.163,5.553,12.180,19.576
S(M),6.695,14.062,23.337,29.336
S(M/4),3.960,8.963,17.950,22.9439
S(M/8),3.690,9.84882,17.120,22.260
D(48),1.370,6.712,11.296,20.948
D(M),6.114,13.571,23.466,21.436
D(M/4),6.459,15.968,24.524,20.629
D(M/8),3.736,15.276,25.029,20.376
G(48),1.981,5.230,12.812,17.100
G(M),6.638,14.099,22.761,22.444
G(M/4),6.412,14.064,28.503,20.802
G(M/8),4.032,15.163,30.239,23.513
