Schedule,ThreadCt,smallArr,largeArr
None,48,0.9939196,0.9803106
None,M,0.8860662,10.96254
None,M/2,1.750828,20.7869
None,M/4,3.320116,18.308
None,M/8,4.1868,17.4858
None,M/16,7.687144,16.31464
None,M/32,10.266362,13.57382
None,M/64,6.66872,12.1178
Static,48,1.76981,10.6396
Static,M,0.868687,10.0743
Static,M/2,1.78417,20.5529
Static,M/4,3.34315,18.4595
Static,M/8,4.9149,16.152
Static,M/16,7.90714,17.1188
Static,M/32,10.1007,13.4426
Static,M/64,6.74187,10.8194
Dynamic,48,1.81505,15.9837
Dynamic,M,0.941841,10.5897
Dynamic,M/2,1.62355,19.4659
Dynamic,M/4,2.60477,17.6682
Dynamic,M/8,5.10965,16.152
Dynamic,M/16,7.94516,17.8556
Dynamic,M/32,9.70318,17.3871
Dynamic,M/64,6.30707,15.396
Guided,48,3.52859,13.3502
Guided,M,1.10264,10.6916
Guided,M/2,2.00996,20.6267
Guided,M/4,3.72379,19.253
Guided,M/8,6.91183,18.4095
Guided,M/16,10.1556,15.8337
Guided,M/32,10.8902,12.407
Guided,M/64,6.89153,12.281
